"Port_Code","Port","Dom_ID","Dom_Geography","Group_ID","Value_2010","Weight"
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","01",6.07,15.42
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","02",0.02,1.18
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","03",5.12,12.36
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","04",1.99,0.56
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","05",1.48,0.78
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","06",4.71,0.42
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","07",0.55,0.87
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","08",4.08,0.39
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","09",2.75,0.19
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","10",12.83,0.44
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","11",0.62,0.01
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","12",1.92,0.54
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","13",0.56,1.52
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","16",0.10,7.57976084322652e-04
"42660","Seattle-Tacoma-Bellevue","10180","Abilene","17",3.86,0.88
"42660","Seattle-Tacoma-Bellevue","10420","Akron","01",4.88,6.90
"42660","Seattle-Tacoma-Bellevue","10420","Akron","02",0.11,5.30
"42660","Seattle-Tacoma-Bellevue","10420","Akron","03",0.73,0.77
"42660","Seattle-Tacoma-Bellevue","10420","Akron","04",25.81,6.70
"42660","Seattle-Tacoma-Bellevue","10420","Akron","05",8.95,6.15
"42660","Seattle-Tacoma-Bellevue","10420","Akron","06",20.08,1.82
"42660","Seattle-Tacoma-Bellevue","10420","Akron","07",3.28,4.46
"42660","Seattle-Tacoma-Bellevue","10420","Akron","08",20.45,1.95
"42660","Seattle-Tacoma-Bellevue","10420","Akron","09",15.52,1.03
"42660","Seattle-Tacoma-Bellevue","10420","Akron","10",24.05,1.19
"42660","Seattle-Tacoma-Bellevue","10420","Akron","11",3.50,0.09
"42660","Seattle-Tacoma-Bellevue","10420","Akron","12",6.17,1.75
"42660","Seattle-Tacoma-Bellevue","10420","Akron","13",2.23,6.19
"42660","Seattle-Tacoma-Bellevue","10420","Akron","16",0.28,2.10590014362088e-03
"42660","Seattle-Tacoma-Bellevue","10420","Akron","17",23.11,5.35
"42660","Seattle-Tacoma-Bellevue","10500","Albany","01",5.49,12.74
"42660","Seattle-Tacoma-Bellevue","10500","Albany","02",0.01,0.96
"42660","Seattle-Tacoma-Bellevue","10500","Albany","03",0.12,0.13
"42660","Seattle-Tacoma-Bellevue","10500","Albany","04",1.75,0.52
"42660","Seattle-Tacoma-Bellevue","10500","Albany","05",1.50,1.07
"42660","Seattle-Tacoma-Bellevue","10500","Albany","06",3.76,0.34
"42660","Seattle-Tacoma-Bellevue","10500","Albany","07",0.44,0.79
"42660","Seattle-Tacoma-Bellevue","10500","Albany","08",1.29,0.13
"42660","Seattle-Tacoma-Bellevue","10500","Albany","09",1.91,0.14
"42660","Seattle-Tacoma-Bellevue","10500","Albany","10",10.40,0.17
"42660","Seattle-Tacoma-Bellevue","10500","Albany","11",0.28,9.4984199335765e-03
"42660","Seattle-Tacoma-Bellevue","10500","Albany","12",0.65,0.18
"42660","Seattle-Tacoma-Bellevue","10500","Albany","13",0.41,1.09
"42660","Seattle-Tacoma-Bellevue","10500","Albany","16",0.07,6.66211759616303e-04
"42660","Seattle-Tacoma-Bellevue","10500","Albany","17",2.09,0.48
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","01",4.52,6.55
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","02",0.08,3.32
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","03",0.93,0.99
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","04",10.94,3.18
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","05",10.82,11.14
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","06",21.88,1.99
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","07",2.51,3.72
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","08",30.43,2.71
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","09",13.40,0.93
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","10",10.81,1.08
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","11",2.56,0.07
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","12",5.39,1.54
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","13",2.18,6.00
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","16",1.61,0.01
"42660","Seattle-Tacoma-Bellevue","10580","Albany-Schenectady-Troy","17",13.56,2.87
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","01",6.72,6.98
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","02",0.27,8.49
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","03",0.12,0.30
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","04",11.79,3.16
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","05",10.02,3.66
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","06",29.52,2.68
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","07",5.39,7.45
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","08",14.44,1.46
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","09",62.59,2.36
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","10",103.86,1.66
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","11",9.08,0.20
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","12",12.30,3.51
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","13",3.49,9.13
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","16",2.43,0.01
"42660","Seattle-Tacoma-Bellevue","10740","Albuquerque","17",31.70,5.19
"42660","Seattle-Tacoma-Bellevue","10780","Alexandria","01",2.20,5.71
"42660","Seattle-Tacoma-Bellevue","10780","Alexandria","02",0.01,0.81
"42660","Seattle-Tacoma-Bellevue","10780","Alexandria","03",0.24,0.41
"42660","Seattle-Tacoma-Bellevue","10780","Alexandria","04",3.17,0.74
"42660","Seattle-Tacoma-Bellevue","10780","Alexandria","05",4.71,11.16
"42660","Seattle-Tacoma-Bellevue","10780","Alexandria","06",3.91,0.35
"42660","Seattle-Tacoma-Bellevue","10780","Alexandria","07",0.55,0.72
"42660","Seattle-Tacoma-Bellevue","10780","Alexandria","08",1.93,0.18
"42660","Seattle-Tacoma-Bellevue","10780","Alexandria","09",2.07,0.15
"42660","Seattle-Tacoma-Bellevue","10780","Alexandria","10",2.25,0.36
"42660","Seattle-Tacoma-Bellevue","10780","Alexandria","11",0.31,0.01
"42660","Seattle-Tacoma-Bellevue","10780","Alexandria","12",0.99,0.28
